Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Cyprus,CYP,1.6752701237629,-0.945904602145504,-1.33377854658193,-0.75404810119133,-0.572261903878569,1.03844284555774,1.00386652221141,1.12289749027592,-1.18487109178723,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Czech Republic,CZE,1.45092107055808,1.36470473782452,2.57853631569476,0.992276160290274,1.14145060120347,1.30694431650136,2.56809454643346,3.889772041651,4.39539265654068,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Denmark,DNK,2.37518362751084,0.888170882360484,1.03210857831324,0.433060802052097,0.25459516653126,1.18466161152733,0.747856838144173,0.742103116517058,2.61295868108087,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Djibouti,DJI,..,..,1.26230441351029,1.89305204795535,0.447088261622525,0.263588850451683,1.00663283686646,2.39311233758737,1.29133518130355,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Dominica,DMA,-1.96154334602758,3.56648686732856,-0.0485812062253927,6.82110388187158,3.90735728394279,-3.20497087126583,3.62745566231489,3.24576415407705,-1.13277068393862,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Dominican Republic,DOM,5.09818154500647,4.69281914231266,4.32128893767675,2.47188597709767,1.99367846452935,4.18137503365021,4.12148968696981,2.52561865647056,4.72350401957794,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Ecuador,ECU,4.98525306124122,3.09504901286289,3.03070306911397,-2.49102075763332,1.90164677546638,1.94639824444045,1.81887357109554,0.495450027557041,-0.923994281015226,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Egypt, Arab Rep.",EGY,19.4828774717686,8.7126745737242,11.2476245048912,9.93088972878017,6.24566313599021,22.9325542334096,21.4262259194396,13.6225675699873,6.22121839794872,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,El Salvador,SLV,2.54750952459774,0.582891427089493,1.01178891188312,1.30863378732111,0.651008913696401,0.987503802684174,1.69655843329437,0.960338638675594,0.203941698827876,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Equatorial Guinea,GNQ,4.85478204287919,-1.07267375706822,-1.27384264682834,-20.1927503678985,-6.2854221112699,12.7423765289625,9.51384291838637,-2.19644346528756,-9.33214895013269,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Estonia,EST,4.07217562273709,4.03124999019823,2.91561332318757,1.03644083022607,2.18730990746438,3.59036501479098,4.02445415076322,3.18893153347703,-0.294903105606309,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Ethiopia,ETH,33.5414050179965,4.90197929907841,10.9817882908686,10.8365427789744,10.3979255406466,6.67685508319342,12.3822948123876,12.8603968185939,18.2438917174829,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Fiji,FJI,3.57651352093811,3.62129654202479,12.5054051652378,2.53089904576713,2.63332643190127,1.69845720619466,1.42571820745616,2.37515137397249,-1.75254364869693,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Finland,FIN,2.97397234009919,2.55829450973857,1.63162333665335,1.61674649704926,0.0874254582934526,0.819262897258781,2.00220922746736,1.49541239615533,1.24227240628659,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,France,FRA,1.16182503173519,0.778100531144062,0.576944232991778,1.13824878533235,0.522559343400445,0.521577263305687,0.9922245663778,1.27859214632949,2.52464913907811,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,French Polynesia,PYF,..,..,..,..,1.12947790218716,-0.301253737739358,0.00193968197035588,0.30484198500406,0.296303311241701,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Gabon,GAB,-2.9419027036061,-6.15792493444491,-0.851390333321461,-8.92717245327955,-4.26975397974572,3.82030214446843,7.17665749439934,1.54748519798422,-9.16056828464299,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Gambia, The",GMB,3.84516021372072,5.93313138058191,5.21172310682789,9.72036242675256,7.82062274860979,3.92171862000133,6.95176403794258,6.25742575579309,6.25716326396129,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Georgia,GEO,0.464401442288846,1.34623226533787,4.2319543281895,5.83311913635779,2.61931829571066,8.49104666870355,4.36110904352958,5.19239145340818,7.28127821019069,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Germany,DEU,1.49648883779834,1.95939168302444,1.87793985374911,1.85367882408802,1.32775222269545,1.50373898915133,1.97471716141666,2.05505655287355,1.59682265615311,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Ghana,GHA,15.2052787396605,54.0129117583926,23.9399604777074,13.252964555207,15.7486196104808,10.6773105806362,10.5684799260556,8.48107298102975,7.11245372324862,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Greece,GRC,-0.275142403452051,-2.04562420707737,-1.9387546208597,-0.293730433148639,-0.5785807515839,0.285406259345564,-0.165244042297104,0.248490586147483,-0.837548130612646,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Greenland,GRL,3.44533181192106,1.06737253143181,0.990273554004744,8.14438057205848,3.53778245812826,3.2664996424492,0.117577136425837,1.88764153570382,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Grenada,GRD,3.92652290919531,2.92287015408121,0.773312224873351,2.76032767179638,2.64414494384029,1.5261735013888,-0.643855628126985,3.19887403591402,-0.416734719496219,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Guam,GUM,3.43097913322632,0.84049308927905,2.07782277044168,2.52246816503092,1.57407577083902,0.998991461381451,1.5127361880235,2.41616379536786,4.1736321785969,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Guatemala,GTM,3.37775084412593,3.35844634594847,2.86031160659735,2.23162145989066,2.70719129663175,1.7479141087134,1.18961296201772,3.68060643662776,2.64518808690271,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Guinea,GIN,11.5159679199323,4.32935486873151,2.61590783947945,2.97227834871158,5.66895394137575,10.3565072127093,7.05908442039673,9.94984530949752,12.9596829256956,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Guinea-Bissau,GNB,-0.850532797538335,-0.932149491408239,-0.148257144183006,12.1019886582441,6.09639967284818,5.93859668011328,5.24999464155707,-3.41786303090853,0.102519750040116,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Guyana,GUY,4.62099011163089,-0.536796094169361,-2.10495457051069,3.00419021399499,0.897726319236796,2.10912351831318,-2.88758156366096,2.9613962463567,-26.296049874977,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Haiti,HTI,8.20779379091175,8.07714884191483,3.33882569892472,3.95043065674435,15.1599971849512,14.0053730253704,7.27876051620999,17.5506127561516,20.5805875994283,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Honduras,HND,3.57978742613756,1.37403051856492,6.84935672480186,6.9327703694637,3.67806814426042,4.5128429763521,1.94721691531043,4.12669713335944,4.63418667466125,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Hong Kong SAR, China",HKG,3.54478895790852,1.8124440289138,2.85031089853246,3.64354629720467,1.63764752172449,2.88346818945185,3.65755102185,2.04714511101652,0.635094957307871,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Hungary,HUN,2.89320060133669,2.81884151690318,3.69746112729104,2.77655417502014,1.32087895128745,4.02933650653594,4.84648198792496,4.76553661583969,5.91559568847018,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Iceland,ISL,3.44088030034162,2.12454183861853,4.14165194460018,6.0545203480569,2.260860866933,0.936992856331969,2.65295062424478,4.58943089504362,3.21435192181335,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,India,IND,7.93438624839366,6.18650400083453,3.33175691706154,2.27958810849833,3.23797495080767,3.96925793352338,3.73725167114141,3.5660014224639,4.6116739280539,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Indonesia,IDN,3.75387875323653,4.96599029131677,5.44317454935612,3.98024266013961,2.43892408688207,4.29267812199525,3.81832356943335,1.59879813414963,-0.456130066019227,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Iran, Islamic Rep.",IRN,24.0161094436159,35.5674505569007,10.8381132500467,0.429237408759334,1.60719243882896,12.2491775126757,32.8986085637781,36.9100828421149,39.0059417035432,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Iraq,IRQ,2.66976938276827,-0.011597877780062,-2.84317132634014,-30.1996539393789,-11.1041709203303,14.6503597888451,18.2039920993937,-2.47574968758578,-15.1739556169095,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Ireland,IRL,2.28405268624827,0.942224700128122,-0.0568116432184524,7.70018812082918,0.705182877568689,0.925858588695689,0.711919254960009,4.22478890022992,-1.21212040124948,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Isle of Man,IMN,-3.68356483239818,1.53580275813275,-0.522248662495443,-0.627110745947576,2.23677859363892,2.16112258207663,1.29998000934768,1.80002115966444,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Israel,ISR,3.25594063178522,1.73646438878889,0.59302075248641,2.50059731460811,0.56046763330626,-0.00183774850883367,0.887278236691841,1.88495106654629,0.972869137730243,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Italy,ITA,1.54730144037734,1.14761015891955,0.913241261981469,0.931863574759717,1.13435002037254,0.726343220957816,1.06813204686947,0.915075229574896,1.16759243058586,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Jamaica,JAM,6.57190361388207,8.41581565660749,6.93001524081384,6.65533865269208,4.66417119108644,6.54976684602491,4.99324114976486,3.18250309465809,3.55578952544597,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Japan,JPN,-0.75609311955516,-0.354375054330276,1.68629478626674,2.111298993275,0.419944376057259,-0.0743495037290813,0.00462893901934081,0.640853235597191,0.842164640015426,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Jordan,JOR,4.60681522593885,6.1436238894444,3.44532356315609,2.16975211695323,1.36200664175068,1.6790764565912,1.71112806086828,1.67062575504566,-0.262084211912423,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Kazakhstan,KAZ,4.78556980595843,9.49908144096337,5.77123952989534,1.82354987705597,13.6384336167435,11.2111056561167,9.20560599056164,7.63328623819848,4.21085829656509,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Kenya,KEN,9.52297221154848,7.3375622336044,7.63503190149002,9.23865468396285,5.84962894648808,7.60520032430996,4.23362110099674,4.59019083853636,5.18197029478311,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Kiribati,KIR,-0.39559685411335,0.13567382409245,4.70548536940395,3.48414574403941,0.171534980771142,0.964916332831194,5.64128079915854,-2.66053278292046,8.00694504361077,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Korea, Rep.",KOR,1.2518081696316,1.01854380505277,0.906896750615815,3.18559596664953,1.98603850545349,2.22278138152841,0.482948983102617,-0.839325308149668,1.3129090997795,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Kosovo,XKX,3.52540365876908,0.353023231799625,1.60143936813422,0.607803461239982,0.779271867669536,0.439985824227108,1.49892049019849,0.962931177957444,1.38110698371696,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Kuwait,KWT,7.4591870131177,0.22286798668712,-6.75791272749098,-25.9584189407846,-6.83796631002545,16.2310999336247,12.5835172434706,-1.3365328566548,-14.0712215716476,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Kyrgyz Republic,KGZ,8.6563168100807,3.17518813463819,8.41522544149154,3.42728749981322,6.05056427537542,6.32714586098358,3.44744512662716,3.9493878905563,5.75990700013631,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Lao PDR,LAO,7.52885930522015,6.4739720842641,5.72655918157639,2.34849600622449,3.02230644256338,1.85209676121123,1.91988919391754,2.04355102618329,4.99129117432848,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Latvia,LVA,3.63877279947324,1.71564951319858,1.91766477138444,0.115936805023594,0.864382927846805,2.94726642123868,3.89360835733359,2.57514230954837,-0.0922771791395576,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Lebanon,LBN,7.55834854747171,2.61433380715195,0.152066967674642,3.41338158271466,1.04467625991187,2.96114262892992,5.45439723099082,4.35774652108361,84.5853464944251,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Lesotho,LSO,2.18086239533248,10.2798987426999,14.0351481487267,10.2024527829635,-0.294676753764548,2.0178781766935,9.62280375193349,3.14657560944988,-0.0328356954939721,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Liberia,LBR,7.79715591834842,4.71530813283255,0.817921326764434,0.062713425558087,6.97295697153928,-2.61793415299387,-0.209872797387817,-0.560426634044902,-0.602001544312543,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Libya,LBY,8.98067011905199,-6.6679215796435,-17.3090288371944,-19.3985123874934,-2.55756346159349,14.4307577837856,18.123645213763,-1.10362562372156,-28.9607354572041,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Lithuania,LTU,2.73425349368634,1.28133222727746,0.833592064248663,0.0636827914669311,1.57625277213522,4.24343178964807,3.52621213589298,2.65423419417816,1.45928157400878,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Luxembourg,LUX,3.26597731840673,2.27602449452651,2.79670220085781,2.21918065733098,-1.1076169264046,2.14290399690169,1.73170185781184,0.5770877457648,4.27136059427453,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Macao SAR, China",MAC,6.92084670327873,7.73268255503811,8.73053046264982,4.51406333280315,0.861602465812481,2.15008384793055,3.54347079233199,2.4036317762496,-0.235732797118487,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,North Macedonia,MKD,1.00299826672435,4.48329315377931,1.44696785759902,2.00342084578241,3.46525285653088,2.80702703539038,3.92615528936682,0.86816868476069,1.12777189049764,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Madagascar,MDG,5.46617486767377,5.45230244755115,6.7317708110441,6.5037166924635,8.96008072712124,4.96153975744053,8.29799331289462,6.52209064118452,4.351524552901,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Malawi,MWI,17.6561012395674,27.3003965088948,20.8837033794127,20.5346585390206,19.5441321386452,60.9869707162352,6.12909400114843,7.72834797950487,10.2031490872773,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Malaysia,MYS,0.999932303470885,0.17447448132144,2.46746678366378,1.21805573355338,1.65825996642414,3.77896094306453,0.624729188293799,0.0743443144982194,-0.777809220253829,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Maldives,MDV,6.77695258213396,6.43035569811721,4.64084381970453,7.92990810478689,0.225232737020391,1.38579964026204,3.14973998119896,-1.08206191020751,0.360187795165757,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Mali,MLI,4.60540762762535,0.652631802447871,1.26864344003421,2.88350937506129,1.35112231370481,1.93427321118722,1.4579639111606,1.93054207197829,0.532340177530827,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Malta,MLT,2.14609549393094,2.27617159097511,2.34272937508777,4.22011879189614,1.76399886235589,2.22278076888944,2.25673045019485,2.31445528709868,1.44925987961915,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Marshall Islands,MHL,7.25163373786037,-1.51625105932237,-0.513970988268241,-0.685176685545642,8.20640437931262,2.47185908360532,0.345650272269467,1.33275199298421,4.39267405327925,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Mauritania,MRT,0.455837170404166,4.4879682733707,-11.8763231031193,-4.79390857827042,11.2101297508573,1.58393832604489,3.10295554337101,4.34292697488847,3.52188343541179,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Mauritius,MUS,2.46552355729885,2.75088112245881,1.48063548972539,0.960795698758417,2.14757009578533,1.29687221252246,1.44727208423998,0.504436486760795,1.33274414499631,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Mexico,MEX,4.06592696849427,1.52973082061064,4.43971916284347,2.83508621841817,5.60527751287923,6.71270642990439,4.94641112250018,4.13502375444384,2.9066998496146,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Micronesia, Fed. Sts.",FSM,7.12250101573797,0.636944648983501,3.02389423731965,-5.25035878326008,4.04783780036301,7.47108297734923,9.38634001227707,0.344986588050489,2.30268884378908,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Moldova,MDA,7.42422187173773,3.92385150324171,6.35218401572043,9.56436555937701,5.67408524875492,6.25027879735399,3.18002317629715,5.40013453255735,5.44754589520026,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Monaco,MCO,1.16156694861856,0.780385103852723,0.575364667747166,1.13797243776995,0.159432006406647,0.886513363230364,0.991522346261647,1.27927310091869,2.52377220674727,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Mongolia,MNG,12.7843788549037,2.90784833854457,7.44883659808582,0.609769216337469,2.99312676407123,10.8004464058994,7.96061586692352,9.97221325737392,3.70672176605325,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Montenegro,MNE,0.177016999632059,2.0669709044933,1.03622831974151,2.21957293262733,5.101095416601,3.82494607129446,3.22610640466073,2.02214250501216,-0.175604637679498,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Morocco,MAR,0.369335229674476,1.30729203571408,0.377809577308867,2.12904824405096,1.48315700501477,0.634941335001955,1.08963397133654,1.35707697645933,0.857573708719528,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Mozambique,MOZ,3.46607341880983,2.97638030509511,1.21068531516744,7.58585554156494,13.6756096543201,7.64070735094347,3.00116964035087,5.05570841289557,2.49998196717382,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Myanmar,MMR,6.43546634106525,3.79699157742235,4.26520661630386,8.37489724067422,-2.65135241382431,5.37290102051014,5.44565943599471,6.26521865850498,5.05700033570615,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Namibia,NAM,11.2603084734349,4.03979089350075,8.23489179866652,3.86457435077661,7.96867201225912,9.91903823647766,4.42848463730921,0.612681649643434,5.82058070856397,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Nauru,NRU,25.9823332318002,-21.8085106382979,-6.17283950617285,-12.0300751879699,27.1883289124668,12.2930389887841,4.00317082837891,3.75000000000001,1.84145673603504,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Nepal,NPL,7.7411500296797,7.08265099891379,8.03536619587905,4.40904543328786,7.15033478751282,8.26141254915089,4.35585846767506,4.69115593453498,3.60898433697818,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Netherlands,NLD,1.44610956661077,1.27998705426134,0.253185732004795,0.772727976651382,0.454667288773308,1.26070715808579,2.43709074520527,3.03273379248688,2.29170127559732,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,New Zealand,NZL,-0.141931989805173,4.22694456875968,0.413234104166222,1.45959368689992,2.47583833335752,3.56817765652715,2.03585704537181,3.65999097293448,-1.29075049528463,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Nicaragua,NIC,6.24411108341518,4.34943736150792,8.39222866061853,7.58862401338662,4.59008266954466,4.12220145907398,2.6589745249658,5.51169223352055,5.86241590131959,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Niger,NER,5.30833937222272,-0.369174083851391,-0.405676844557448,2.24942643626476,1.79272146557585,0.372075773438809,2.17578786783204,0.406851113874922,0.899635392268806,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Nigeria,NGA,9.94763670647075,4.96474571562726,4.66262291697188,2.86366512244869,9.54367007033214,11.1189180740769,10.2284850900326,10.3847791937551,7.8491420459553,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Northern Mariana Islands,MNP,1.50891632373114,0.783289817232372,3.450335683769,5.79545454545456,4.60693153000844,2.97029702970298,3.47969782813975,2.16751470393785,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Norway,NOR,3.3429205789641,2.55519558349381,0.290603973053521,-2.85486501270054,-1.47425382556115,3.95110454864106,6.65160826591449,-0.472598023910763,-3.60460515845841,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Oman,OMN,3.60643426874947,-2.22041185302194,1.75729954907395,-19.1464725188166,-9.13627527605452,7.29794329780007,11.7322946084517,-2.66567395010162,-13.2219841053856,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Pakistan,PAK,5.9685743809281,6.96594307851122,7.41155324090015,4.11024865863799,0.400235638822991,4.01337755347467,2.45928609500187,8.77873245420209,10.1414018611984,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Palau,PLW,6.09034826636548,7.75523207183004,2.82334534473911,7.91422842241749,6.4505918303186,-1.11071386894091,-0.103196146039693,-1.82648401826484,4.12121212121212,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Panama,PAN,6.17573398847735,5.50480282257388,4.19761965255047,2.47882626525329,2.00204602790812,1.72902399557368,0.673383441285267,0.179926530699333,-1.79594439651424,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Papua New Guinea,PNG,-0.574719487183756,3.58693538896726,5.43739265412782,-1.23111841681596,2.51784593601241,7.69953503846061,9.79760566069545,1.06414281501172,5.49222797927467,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Paraguay,PRY,4.79827587865157,4.33767609515789,2.85700648471038,1.60388801037963,4.13475444403026,2.15920929174615,1.96024819846549,3.01189317819828,2.67766462068046,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Peru,PER,1.20258494022738,1.05723435149577,2.43244108501779,2.69052090074331,3.08088269037734,3.61565826105974,2.26726126218679,1.98487078449061,4.21436485975239,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Philippines,PHL,1.99417609662484,2.06106335869478,3.0530553012354,-0.719682789919048,1.28031174420369,2.32025994640743,3.74065382988691,0.697076297206081,1.63841220266146,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Poland,POL,2.36149484385804,0.304917411016433,0.521868728179896,0.974028250792998,0.311622233538486,1.85970045111763,1.20161033484582,3.19397798377996,4.10389081407033,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Portugal,PRT,-0.388196360131744,2.24865489225866,0.704596369328669,2.01996442826523,1.71666254687131,1.51191039440322,1.8129967517081,1.74945223999291,1.94187381216888,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Puerto Rico,PRI,1.17922814906271,1.18201519575041,1.20055485938147,1.97770278824407,2.22086666016862,2.09220193806701,1.78493107751822,2.43210750800674,2.29998946799495,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Qatar,QAT,6.32996223555197,0.767488571935985,-1.4827510630932,-25.1298074959928,-8.97669905751843,7.78756965604812,12.4144035260003,-4.45591421178621,-15.1004203094213,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Romania,ROU,3.77070284203964,3.39548096629632,1.796958453768,3.25534815965634,2.44704326362606,4.6791724973564,6.18622546060563,6.79553804220852,3.75465937339806,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Russian Federation,RUS,8.90786842114997,5.32013887201612,7.49007111733965,7.24973590741396,2.84422269754501,5.34981508815954,9.99792491108195,3.08417384094899,0.896021692344391,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Rwanda,RWA,4.72075442856683,2.69223637200116,4.73246631901345,0.486519454996156,5.03022339503406,8.16170432697156,-0.626032769735062,2.50105537818288,8.26647178268649,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Samoa,WSM,3.64394741780025,0.917887033140218,-0.151641500735423,4.18942702949738,1.17793737312535,-0.0822291293631707,1.15577690447101,1.38577822629171,0.21500727889206,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,San Marino,SMR,3.12004460358166,2.00061717503941,0.388644528758022,-0.742700250740825,1.31670533871491,1.74335584048487,2.01318009771707,0.6094925447522,..,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Sao Tome and Principe,STP,13.6090015133155,10.720573338667,8.19943059424773,5.00613866931359,5.11333295070166,2.96599727316809,1.71579834735319,6.97823699315447,5.47394861951301,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Saudi Arabia,SAU,4.0155153566887,-1.21633459502696,-2.26999804428739,-16.9085254182138,-3.04641421307744,7.56583070611177,11.5084650083653,0.486383588199587,-7.92804878105507,..
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Senegal,SEN,3.27411157616761,1.18613046995503,-1.51585973451603,1.06978461964601,0.955649520089025,0.598916826886537,-0.839644464738328,1.86495509329359,2.34276582266912,..
